,0_x,0_y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,DecisionTreeClassifier 1,"(0, 0, 4, 10, 3, 4, 17)","(1, 12, 0, 1, 14, 2, 17)","(11, 0, 0, 11, 3, 3, 17)","(2, 1, 0, 14, 1, 2, 17)","(0, 5, 2, 3, 11, 3, 17)","(2, 2, 1, 3, 12, 2, 17)","(1, 2, 4, 5, 8, 4, 17)","(16, 0, 0, 16, 0, 1, 17)","(9, 4, 2, 9, 5, 3, 17)","(0, 4, 0, 5, 4, 8, 17)","(0, 14, 0, 0, 17, 0, 17)","(6, 1, 3, 12, 1, 4, 17)","(2, 8, 3, 6, 8, 3, 17)","(9, 7, 0, 9, 8, 0, 17)","(5, 2, 0, 5, 5, 7, 17)","(3, 10, 3, 3, 11, 3, 17)","(14, 0, 0, 16, 0, 1, 17)","(2, 11, 2, 2, 12, 3, 17)","(0, 14, 0, 0, 17, 0, 17)","(0, 10, 2, 2, 13, 2, 17)","(1, 9, 2, 3, 11, 3, 17)","(5, 0, 0, 8, 9, 0, 17)","(0, 2, 0, 0, 17, 0, 17)","(11, 0, 0, 11, 6, 0, 17)","(5, 0, 0, 17, 0, 0, 17)","(7, 8, 0, 7, 9, 1, 17)","(10, 6, 1, 10, 6, 1, 17)","(0, 8, 2, 0, 15, 2, 17)","(1, 9, 0, 4, 10, 3, 17)","(7, 2, 0, 10, 6, 1, 17)","(6, 5, 0, 7, 9, 1, 17)"
1,DecisionTreeClassifier 2,"(0, 0, 4, 10, 3, 4, 17)","(1, 12, 0, 1, 14, 2, 17)","(11, 1, 0, 11, 3, 3, 17)","(3, 0, 0, 14, 1, 2, 17)","(0, 3, 2, 3, 11, 3, 17)","(3, 1, 0, 3, 12, 2, 17)","(1, 2, 4, 5, 8, 4, 17)","(16, 0, 0, 16, 0, 1, 17)","(9, 4, 1, 9, 5, 3, 17)","(0, 4, 0, 5, 4, 8, 17)","(0, 15, 0, 0, 17, 0, 17)","(8, 1, 4, 12, 1, 4, 17)","(3, 8, 3, 6, 8, 3, 17)","(9, 7, 0, 9, 8, 0, 17)","(5, 2, 0, 5, 5, 7, 17)","(3, 10, 3, 3, 11, 3, 17)","(14, 0, 0, 16, 0, 1, 17)","(2, 11, 2, 2, 12, 3, 17)","(0, 14, 0, 0, 17, 0, 17)","(0, 12, 0, 2, 13, 2, 17)","(0, 8, 2, 3, 11, 3, 17)","(7, 1, 0, 8, 9, 0, 17)","(0, 3, 0, 0, 17, 0, 17)","(11, 0, 0, 11, 6, 0, 17)","(5, 0, 0, 17, 0, 0, 17)","(6, 8, 0, 7, 9, 1, 17)","(10, 6, 1, 10, 6, 1, 17)","(0, 8, 2, 0, 15, 2, 17)","(1, 9, 0, 4, 10, 3, 17)","(7, 2, 0, 10, 6, 1, 17)","(5, 2, 0, 7, 9, 1, 17)"
2,DecisionTreeClassifier 3,"(0, 0, 4, 10, 3, 4, 17)","(1, 12, 0, 1, 14, 2, 17)","(11, 0, 0, 11, 3, 3, 17)","(3, 0, 0, 14, 1, 2, 17)","(0, 2, 2, 3, 11, 3, 17)","(3, 1, 0, 3, 12, 2, 17)","(1, 2, 4, 5, 8, 4, 17)","(13, 0, 0, 16, 0, 1, 17)","(8, 3, 1, 9, 5, 3, 17)","(0, 4, 1, 5, 4, 8, 17)","(0, 14, 0, 0, 17, 0, 17)","(7, 1, 2, 12, 1, 4, 17)","(3, 8, 3, 6, 8, 3, 17)","(9, 7, 0, 9, 8, 0, 17)","(5, 2, 0, 5, 5, 7, 17)","(3, 10, 3, 3, 11, 3, 17)","(14, 0, 0, 16, 0, 1, 17)","(2, 11, 2, 2, 12, 3, 17)","(0, 15, 0, 0, 17, 0, 17)","(0, 9, 2, 2, 13, 2, 17)","(2, 8, 2, 3, 11, 3, 17)","(8, 0, 0, 8, 9, 0, 17)","(0, 1, 0, 0, 17, 0, 17)","(11, 0, 0, 11, 6, 0, 17)","(10, 0, 0, 17, 0, 0, 17)","(6, 9, 0, 7, 9, 1, 17)","(10, 6, 1, 10, 6, 1, 17)","(0, 7, 2, 0, 15, 2, 17)","(1, 9, 0, 4, 10, 3, 17)","(7, 2, 0, 10, 6, 1, 17)","(5, 4, 0, 7, 9, 1, 17)"
3,RandomForestClassifier 1,"(7, 3, 0, 10, 3, 4, 17)","(1, 4, 0, 1, 14, 2, 17)","(11, 0, 0, 11, 3, 3, 17)","(8, 1, 0, 14, 1, 2, 17)","(1, 6, 0, 3, 11, 3, 17)","(3, 0, 0, 3, 12, 2, 17)","(5, 0, 0, 5, 8, 4, 17)","(16, 0, 0, 16, 0, 1, 17)","(2, 5, 0, 9, 5, 3, 17)","(0, 4, 0, 5, 4, 8, 17)","(0, 13, 0, 0, 17, 0, 17)","(4, 1, 0, 12, 1, 4, 17)","(1, 8, 0, 6, 8, 3, 17)","(3, 8, 0, 9, 8, 0, 17)","(0, 5, 0, 5, 5, 7, 17)","(2, 11, 0, 3, 11, 3, 17)","(16, 0, 0, 16, 0, 1, 17)","(2, 12, 0, 2, 12, 3, 17)","(0, 2, 0, 0, 17, 0, 17)","(2, 0, 0, 2, 13, 2, 17)","(3, 0, 0, 3, 11, 3, 17)","(8, 0, 0, 8, 9, 0, 17)","(0, 0, 0, 0, 17, 0, 17)","(11, 0, 0, 11, 6, 0, 17)","(16, 0, 0, 17, 0, 0, 17)","(2, 0, 0, 7, 9, 1, 17)","(10, 0, 0, 10, 6, 1, 17)","(0, 7, 0, 0, 15, 2, 17)","(4, 0, 0, 4, 10, 3, 17)","(10, 0, 0, 10, 6, 1, 17)","(6, 0, 0, 7, 9, 1, 17)"
4,RandomForestClassifier 2,"(1, 3, 1, 10, 3, 4, 17)","(1, 4, 0, 1, 14, 2, 17)","(11, 0, 0, 11, 3, 3, 17)","(8, 1, 0, 14, 1, 2, 17)","(2, 6, 0, 3, 11, 3, 17)","(3, 0, 0, 3, 12, 2, 17)","(5, 0, 0, 5, 8, 4, 17)","(16, 0, 0, 16, 0, 1, 17)","(2, 5, 0, 9, 5, 3, 17)","(0, 4, 0, 5, 4, 8, 17)","(0, 12, 0, 0, 17, 0, 17)","(4, 1, 0, 12, 1, 4, 17)","(1, 8, 0, 6, 8, 3, 17)","(2, 8, 0, 9, 8, 0, 17)","(0, 5, 0, 5, 5, 7, 17)","(3, 11, 0, 3, 11, 3, 17)","(16, 0, 0, 16, 0, 1, 17)","(2, 12, 0, 2, 12, 3, 17)","(0, 2, 0, 0, 17, 0, 17)","(2, 0, 0, 2, 13, 2, 17)","(3, 0, 0, 3, 11, 3, 17)","(8, 0, 0, 8, 9, 0, 17)","(0, 0, 0, 0, 17, 0, 17)","(11, 0, 0, 11, 6, 0, 17)","(16, 0, 0, 17, 0, 0, 17)","(2, 0, 0, 7, 9, 1, 17)","(10, 0, 0, 10, 6, 1, 17)","(0, 7, 0, 0, 15, 2, 17)","(4, 0, 0, 4, 10, 3, 17)","(10, 0, 0, 10, 6, 1, 17)","(6, 0, 0, 7, 9, 1, 17)"
5,RandomForestClassifier 3,"(1, 3, 1, 10, 3, 4, 17)","(1, 8, 0, 1, 14, 2, 17)","(11, 1, 0, 11, 3, 3, 17)","(4, 0, 0, 14, 1, 2, 17)","(1, 6, 0, 3, 11, 3, 17)","(3, 1, 0, 3, 12, 2, 17)","(5, 0, 0, 5, 8, 4, 17)","(16, 0, 0, 16, 0, 1, 17)","(2, 5, 0, 9, 5, 3, 17)","(0, 4, 0, 5, 4, 8, 17)","(0, 13, 0, 0, 17, 0, 17)","(4, 1, 0, 12, 1, 4, 17)","(2, 8, 0, 6, 8, 3, 17)","(5, 8, 0, 9, 8, 0, 17)","(0, 5, 0, 5, 5, 7, 17)","(0, 11, 0, 3, 11, 3, 17)","(14, 0, 0, 16, 0, 1, 17)","(2, 12, 0, 2, 12, 3, 17)","(0, 5, 0, 0, 17, 0, 17)","(2, 0, 0, 2, 13, 2, 17)","(3, 1, 0, 3, 11, 3, 17)","(8, 3, 0, 8, 9, 0, 17)","(0, 2, 0, 0, 17, 0, 17)","(11, 0, 0, 11, 6, 0, 17)","(17, 0, 0, 17, 0, 0, 17)","(3, 0, 0, 7, 9, 1, 17)","(10, 0, 0, 10, 6, 1, 17)","(0, 5, 0, 0, 15, 2, 17)","(2, 1, 0, 4, 10, 3, 17)","(10, 0, 0, 10, 6, 1, 17)","(6, 1, 0, 7, 9, 1, 17)"
6,GradientBoostingClassifier 1,"(4, 1, 3, 10, 3, 4, 17)","(1, 9, 0, 1, 14, 2, 17)","(11, 0, 0, 11, 3, 3, 17)","(7, 0, 1, 14, 1, 2, 17)","(2, 2, 1, 3, 11, 3, 17)","(3, 2, 0, 3, 12, 2, 17)","(1, 3, 3, 5, 8, 4, 17)","(16, 0, 1, 16, 0, 1, 17)","(4, 4, 0, 9, 5, 3, 17)","(4, 1, 0, 5, 4, 8, 17)","(0, 16, 0, 0, 17, 0, 17)","(9, 1, 0, 12, 1, 4, 17)","(6, 8, 0, 6, 8, 3, 17)","(9, 7, 0, 9, 8, 0, 17)","(5, 1, 0, 5, 5, 7, 17)","(0, 11, 2, 3, 11, 3, 17)","(16, 0, 0, 16, 0, 1, 17)","(2, 12, 0, 2, 12, 3, 17)","(0, 16, 0, 0, 17, 0, 17)","(2, 9, 0, 2, 13, 2, 17)","(2, 1, 1, 3, 11, 3, 17)","(7, 4, 0, 8, 9, 0, 17)","(0, 3, 0, 0, 17, 0, 17)","(10, 2, 0, 11, 6, 0, 17)","(4, 0, 0, 17, 0, 0, 17)","(2, 1, 0, 7, 9, 1, 17)","(10, 1, 0, 10, 6, 1, 17)","(0, 8, 0, 0, 15, 2, 17)","(3, 5, 0, 4, 10, 3, 17)","(10, 3, 0, 10, 6, 1, 17)","(7, 1, 0, 7, 9, 1, 17)"
7,GradientBoostingClassifier 2,"(7, 0, 4, 10, 3, 4, 17)","(1, 12, 0, 1, 14, 2, 17)","(11, 0, 0, 11, 3, 3, 17)","(9, 0, 1, 14, 1, 2, 17)","(3, 1, 0, 3, 11, 3, 17)","(3, 10, 0, 3, 12, 2, 17)","(4, 5, 1, 5, 8, 4, 17)","(16, 0, 0, 16, 0, 1, 17)","(6, 5, 0, 9, 5, 3, 17)","(2, 2, 1, 5, 4, 8, 17)","(0, 12, 0, 0, 17, 0, 17)","(9, 1, 1, 12, 1, 4, 17)","(4, 8, 1, 6, 8, 3, 17)","(7, 5, 0, 9, 8, 0, 17)","(4, 4, 0, 5, 5, 7, 17)","(0, 11, 2, 3, 11, 3, 17)","(14, 0, 0, 16, 0, 1, 17)","(2, 10, 0, 2, 12, 3, 17)","(0, 16, 0, 0, 17, 0, 17)","(0, 9, 0, 2, 13, 2, 17)","(3, 8, 1, 3, 11, 3, 17)","(7, 4, 0, 8, 9, 0, 17)","(0, 13, 0, 0, 17, 0, 17)","(10, 4, 0, 11, 6, 0, 17)","(7, 0, 0, 17, 0, 0, 17)","(3, 8, 0, 7, 9, 1, 17)","(10, 6, 0, 10, 6, 1, 17)","(0, 10, 0, 0, 15, 2, 17)","(4, 9, 0, 4, 10, 3, 17)","(10, 5, 0, 10, 6, 1, 17)","(7, 6, 0, 7, 9, 1, 17)"
8,XGBRFClassifier 1,"(10, 0, 0, 10, 3, 4, 17)","(1, 0, 0, 1, 14, 2, 17)","(11, 0, 0, 11, 3, 3, 17)","(8, 1, 0, 14, 1, 2, 17)","(2, 8, 0, 3, 11, 3, 17)","(0, 6, 0, 3, 12, 2, 17)","(5, 0, 0, 5, 8, 4, 17)","(16, 0, 0, 16, 0, 1, 17)","(3, 5, 0, 9, 5, 3, 17)","(2, 4, 0, 5, 4, 8, 17)","(0, 16, 0, 0, 17, 0, 17)","(3, 1, 0, 12, 1, 4, 17)","(6, 8, 0, 6, 8, 3, 17)","(7, 6, 0, 9, 8, 0, 17)","(5, 2, 0, 5, 5, 7, 17)","(3, 11, 0, 3, 11, 3, 17)","(16, 0, 0, 16, 0, 1, 17)","(2, 12, 0, 2, 12, 3, 17)","(0, 4, 0, 0, 17, 0, 17)","(2, 0, 0, 2, 13, 2, 17)","(3, 0, 0, 3, 11, 3, 17)","(8, 0, 0, 8, 9, 0, 17)","(0, 0, 0, 0, 17, 0, 17)","(8, 0, 0, 11, 6, 0, 17)","(15, 0, 0, 17, 0, 0, 17)","(2, 1, 0, 7, 9, 1, 17)","(9, 0, 0, 10, 6, 1, 17)","(0, 6, 0, 0, 15, 2, 17)","(4, 0, 0, 4, 10, 3, 17)","(10, 0, 0, 10, 6, 1, 17)","(5, 0, 0, 7, 9, 1, 17)"
9,XGBRFClassifier 2,"(0, 3, 1, 10, 3, 4, 17)","(1, 7, 0, 1, 14, 2, 17)","(11, 0, 0, 11, 3, 3, 17)","(2, 1, 0, 14, 1, 2, 17)","(1, 6, 0, 3, 11, 3, 17)","(3, 6, 0, 3, 12, 2, 17)","(5, 0, 2, 5, 8, 4, 17)","(16, 0, 0, 16, 0, 1, 17)","(2, 5, 0, 9, 5, 3, 17)","(2, 4, 0, 5, 4, 8, 17)","(0, 16, 0, 0, 17, 0, 17)","(12, 1, 0, 12, 1, 4, 17)","(6, 8, 0, 6, 8, 3, 17)","(9, 8, 0, 9, 8, 0, 17)","(5, 4, 0, 5, 5, 7, 17)","(1, 11, 0, 3, 11, 3, 17)","(16, 0, 0, 16, 0, 1, 17)","(2, 12, 0, 2, 12, 3, 17)","(0, 16, 0, 0, 17, 0, 17)","(2, 3, 0, 2, 13, 2, 17)","(3, 0, 2, 3, 11, 3, 17)","(8, 0, 0, 8, 9, 0, 17)","(0, 1, 0, 0, 17, 0, 17)","(10, 2, 0, 11, 6, 0, 17)","(15, 0, 0, 17, 0, 0, 17)","(2, 1, 0, 7, 9, 1, 17)","(9, 0, 0, 10, 6, 1, 17)","(0, 6, 0, 0, 15, 2, 17)","(4, 1, 0, 4, 10, 3, 17)","(10, 2, 0, 10, 6, 1, 17)","(4, 1, 0, 7, 9, 1, 17)"
10,XGBClassifier 1,"(5, 2, 2, 10, 3, 4, 17)","(1, 10, 1, 1, 14, 2, 17)","(11, 0, 0, 11, 3, 3, 17)","(7, 0, 1, 14, 1, 2, 17)","(3, 4, 1, 3, 11, 3, 17)","(3, 7, 0, 3, 12, 2, 17)","(5, 5, 0, 5, 8, 4, 17)","(16, 0, 0, 16, 0, 1, 17)","(5, 5, 0, 9, 5, 3, 17)","(4, 2, 0, 5, 4, 8, 17)","(0, 14, 0, 0, 17, 0, 17)","(9, 1, 2, 12, 1, 4, 17)","(3, 8, 0, 6, 8, 3, 17)","(8, 1, 0, 9, 8, 0, 17)","(4, 3, 0, 5, 5, 7, 17)","(3, 11, 2, 3, 11, 3, 17)","(14, 0, 0, 16, 0, 1, 17)","(2, 11, 1, 2, 12, 3, 17)","(0, 16, 0, 0, 17, 0, 17)","(1, 10, 0, 2, 13, 2, 17)","(3, 7, 0, 3, 11, 3, 17)","(8, 6, 0, 8, 9, 0, 17)","(0, 13, 0, 0, 17, 0, 17)","(11, 6, 0, 11, 6, 0, 17)","(17, 0, 0, 17, 0, 0, 17)","(4, 7, 0, 7, 9, 1, 17)","(10, 6, 0, 10, 6, 1, 17)","(0, 11, 0, 0, 15, 2, 17)","(4, 9, 0, 4, 10, 3, 17)","(10, 4, 0, 10, 6, 1, 17)","(7, 6, 0, 7, 9, 1, 17)"
11,XGBClassifier 2,"(6, 3, 1, 10, 3, 4, 17)","(1, 8, 1, 1, 14, 2, 17)","(11, 0, 0, 11, 3, 3, 17)","(6, 1, 0, 14, 1, 2, 17)","(3, 5, 0, 3, 11, 3, 17)","(2, 7, 0, 3, 12, 2, 17)","(5, 5, 0, 5, 8, 4, 17)","(16, 0, 0, 16, 0, 1, 17)","(5, 5, 1, 9, 5, 3, 17)","(4, 2, 1, 5, 4, 8, 17)","(0, 14, 0, 0, 17, 0, 17)","(9, 1, 1, 12, 1, 4, 17)","(3, 8, 0, 6, 8, 3, 17)","(6, 1, 0, 9, 8, 0, 17)","(4, 3, 0, 5, 5, 7, 17)","(3, 11, 2, 3, 11, 3, 17)","(14, 0, 0, 16, 0, 1, 17)","(2, 10, 1, 2, 12, 3, 17)","(0, 16, 0, 0, 17, 0, 17)","(1, 10, 0, 2, 13, 2, 17)","(3, 8, 0, 3, 11, 3, 17)","(8, 6, 0, 8, 9, 0, 17)","(0, 14, 0, 0, 17, 0, 17)","(11, 6, 0, 11, 6, 0, 17)","(17, 0, 0, 17, 0, 0, 17)","(4, 7, 0, 7, 9, 1, 17)","(10, 6, 0, 10, 6, 1, 17)","(0, 11, 0, 0, 15, 2, 17)","(4, 9, 0, 4, 10, 3, 17)","(10, 4, 0, 10, 6, 1, 17)","(7, 6, 0, 7, 9, 1, 17)"
12,SGradientBoostingClassifier 1,"(1, 3, 4, 10, 3, 4, 17)","(1, 12, 1, 1, 14, 2, 17)","(11, 1, 0, 11, 3, 3, 17)","(11, 1, 0, 14, 1, 2, 17)","(2, 7, 0, 3, 11, 3, 17)","(3, 10, 0, 3, 12, 2, 17)","(5, 3, 0, 5, 8, 4, 17)","(16, 0, 0, 16, 0, 1, 17)","(8, 4, 0, 9, 5, 3, 17)","(5, 3, 0, 5, 4, 8, 17)","(0, 17, 0, 0, 17, 0, 17)","(10, 1, 0, 12, 1, 4, 17)","(6, 8, 0, 6, 8, 3, 17)","(9, 8, 0, 9, 8, 0, 17)","(5, 2, 0, 5, 5, 7, 17)","(3, 11, 2, 3, 11, 3, 17)","(16, 0, 0, 16, 0, 1, 17)","(2, 12, 0, 2, 12, 3, 17)","(0, 16, 0, 0, 17, 0, 17)","(2, 9, 0, 2, 13, 2, 17)","(3, 7, 0, 3, 11, 3, 17)","(8, 4, 0, 8, 9, 0, 17)","(0, 7, 0, 0, 17, 0, 17)","(9, 5, 0, 11, 6, 0, 17)","(10, 0, 0, 17, 0, 0, 17)","(7, 6, 0, 7, 9, 1, 17)","(10, 6, 0, 10, 6, 1, 17)","(0, 11, 0, 0, 15, 2, 17)","(2, 10, 0, 4, 10, 3, 17)","(10, 4, 0, 10, 6, 1, 17)","(7, 5, 0, 7, 9, 1, 17)"
13,SXGBClassifier 1,"(3, 3, 1, 10, 3, 4, 17)","(1, 13, 0, 1, 14, 2, 17)","(11, 0, 0, 11, 3, 3, 17)","(7, 1, 0, 14, 1, 2, 17)","(2, 6, 0, 3, 11, 3, 17)","(3, 12, 1, 3, 12, 2, 17)","(4, 7, 0, 5, 8, 4, 17)","(16, 0, 0, 16, 0, 1, 17)","(6, 4, 0, 9, 5, 3, 17)","(5, 3, 1, 5, 4, 8, 17)","(0, 16, 0, 0, 17, 0, 17)","(9, 1, 2, 12, 1, 4, 17)","(5, 8, 2, 6, 8, 3, 17)","(9, 7, 0, 9, 8, 0, 17)","(5, 5, 0, 5, 5, 7, 17)","(3, 11, 1, 3, 11, 3, 17)","(16, 0, 0, 16, 0, 1, 17)","(2, 12, 0, 2, 12, 3, 17)","(0, 16, 0, 0, 17, 0, 17)","(1, 12, 1, 2, 13, 2, 17)","(3, 10, 0, 3, 11, 3, 17)","(8, 6, 0, 8, 9, 0, 17)","(0, 17, 0, 0, 17, 0, 17)","(11, 6, 0, 11, 6, 0, 17)","(17, 0, 0, 17, 0, 0, 17)","(7, 8, 0, 7, 9, 1, 17)","(10, 6, 0, 10, 6, 1, 17)","(0, 13, 0, 0, 15, 2, 17)","(4, 10, 0, 4, 10, 3, 17)","(10, 4, 0, 10, 6, 1, 17)","(6, 7, 1, 7, 9, 1, 17)"
14,SXGBClassifier 2,"(5, 2, 2, 10, 3, 4, 17)","(1, 13, 0, 1, 14, 2, 17)","(11, 1, 0, 11, 3, 3, 17)","(7, 1, 0, 14, 1, 2, 17)","(2, 5, 0, 3, 11, 3, 17)","(3, 12, 1, 3, 12, 2, 17)","(5, 7, 0, 5, 8, 4, 17)","(16, 0, 1, 16, 0, 1, 17)","(7, 4, 0, 9, 5, 3, 17)","(5, 3, 2, 5, 4, 8, 17)","(0, 16, 0, 0, 17, 0, 17)","(10, 1, 2, 12, 1, 4, 17)","(5, 8, 3, 6, 8, 3, 17)","(9, 6, 0, 9, 8, 0, 17)","(5, 5, 0, 5, 5, 7, 17)","(3, 11, 1, 3, 11, 3, 17)","(16, 0, 0, 16, 0, 1, 17)","(2, 12, 0, 2, 12, 3, 17)","(0, 16, 0, 0, 17, 0, 17)","(1, 12, 0, 2, 13, 2, 17)","(3, 11, 0, 3, 11, 3, 17)","(8, 6, 0, 8, 9, 0, 17)","(0, 17, 0, 0, 17, 0, 17)","(11, 6, 0, 11, 6, 0, 17)","(17, 0, 0, 17, 0, 0, 17)","(7, 8, 0, 7, 9, 1, 17)","(10, 6, 0, 10, 6, 1, 17)","(0, 13, 0, 0, 15, 2, 17)","(4, 10, 0, 4, 10, 3, 17)","(10, 4, 0, 10, 6, 1, 17)","(7, 8, 1, 7, 9, 1, 17)"
15,SXGBClassifier 3,"(4, 1, 1, 10, 3, 4, 17)","(1, 13, 0, 1, 14, 2, 17)","(11, 3, 0, 11, 3, 3, 17)","(8, 1, 0, 14, 1, 2, 17)","(2, 6, 0, 3, 11, 3, 17)","(3, 12, 0, 3, 12, 2, 17)","(5, 7, 1, 5, 8, 4, 17)","(16, 0, 1, 16, 0, 1, 17)","(5, 5, 0, 9, 5, 3, 17)","(3, 3, 0, 5, 4, 8, 17)","(0, 17, 0, 0, 17, 0, 17)","(11, 1, 2, 12, 1, 4, 17)","(6, 8, 2, 6, 8, 3, 17)","(8, 6, 0, 9, 8, 0, 17)","(5, 5, 0, 5, 5, 7, 17)","(3, 11, 1, 3, 11, 3, 17)","(16, 0, 0, 16, 0, 1, 17)","(2, 12, 1, 2, 12, 3, 17)","(0, 16, 0, 0, 17, 0, 17)","(1, 12, 2, 2, 13, 2, 17)","(3, 11, 1, 3, 11, 3, 17)","(8, 6, 0, 8, 9, 0, 17)","(0, 17, 0, 0, 17, 0, 17)","(11, 6, 0, 11, 6, 0, 17)","(17, 0, 0, 17, 0, 0, 17)","(7, 8, 0, 7, 9, 1, 17)","(10, 6, 0, 10, 6, 1, 17)","(0, 12, 0, 0, 15, 2, 17)","(4, 10, 0, 4, 10, 3, 17)","(10, 4, 0, 10, 6, 1, 17)","(6, 8, 0, 7, 9, 1, 17)"
