Classifier type,<0>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,mean
DecisionTreeClassifier 1,0.9870588235294118,0.9778683750728014,0.9769319492502884,0.9954311821816105,0.9875565610859729,0.9994397759103641,0.9988901220865705,0.9928532160527762,0.9509803921568627,0.9568267674042094,0.9593582887700535,0.9554848966613673,0.9558823529411765,0.9963560645497137,0.9711042311661506,0.9959079283887468,0.9959432048681541,0.9904474610356964,0.9830508474576272,0.9891250617894216,0.9862745098039216,0.9941662615459407,0.9652844744455159,0.9507412721186035,0.9876660341555977,0.9929411764705882,0.9901960784313726,0.9930523390458545,0.9958639705882353,0.9854081167350661,0.9904977375565611,0.9822125636534267
DecisionTreeClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier 3,0.8905882352941177,0.8578916715200932,0.8719723183391004,0.903483723586522,0.8829185520361991,0.896358543417367,0.9062153163152054,0.8949972512369434,0.8235294117647058,0.813815434430653,0.8149732620320855,0.8150503444621092,0.8161764705882353,0.8870380010411244,0.8168214654282766,0.8900255754475703,0.9082150101419878,0.901458019105078,0.9167497507477568,0.8863074641621355,0.9063725490196078,0.8789499270782694,0.8278688524590164,0.8302247728359636,0.8956356736242884,0.8837647058823529,0.8748832866479925,0.8855951829550718,0.9007352941176471,0.8805289557683539,0.8823529411764706,0.8723063858923326
RandomForestClassifier 1,0.6635294117647059,0.6622015142690739,0.6580161476355249,0.663049685893775,0.6566742081447964,0.653781512605042,0.6265260821309656,0.6267179769103903,0.6100217864923747,0.6152185644900162,0.6299465240641712,0.6380498145204028,0.6365546218487395,0.6350858927641854,0.6300309597523219,0.6260869565217392,0.6379310344827587,0.6385118149824032,0.63160518444666,0.6228373702422145,0.6200980392156863,0.6251823043266893,0.6137897782063645,0.6174079387852702,0.6181214421252372,0.624,0.6143790849673203,0.6169522927281149,0.6144301470588235,0.6183310533515732,0.6113122171945702,0.6308510116749001
RandomForestClassifier 2,0.65,0.6435643564356436,0.6424452133794695,0.6464877213021131,0.6419683257918553,0.6397759103641456,0.6265260821309656,0.6151731720725674,0.5887799564270153,0.5920129519697788,0.6213903743315508,0.6285108638049814,0.6260504201680672,0.6272774596564289,0.6191950464396285,0.6199488491048594,0.6242393509127789,0.6199095022624435,0.6186440677966102,0.6223430548690064,0.615686274509804,0.6149732620320856,0.6065573770491803,0.6111908177905309,0.6242884250474383,0.6249411764705882,0.6157796451914099,0.6118573413617415,0.6112132352941176,0.6146830825353398,0.6063348416289592,0.6216692954235841
RandomForestClassifier 3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994929006085193,1.0,1.0,1.0,1.0,0.9990277102576568,0.9995178399228544,0.9990435198469632,0.9985768500948766,0.9995294117647059,0.9990662931839402,0.999073645206114,1.0,0.9995440036479708,0.9995475113122172,0.9997554737369618
GradientBoostingClassifier 1,0.9670588235294117,0.965055329062318,0.9648212226066898,0.9674471730439749,0.9700226244343891,0.965266106442577,0.9650388457269701,0.9703133589884552,0.9667755991285403,0.9697787371829466,0.9705882352941176,0.9597244303126656,0.9627100840336135,0.9604372722540343,0.9623323013415893,0.959079283887468,0.962474645030426,0.9597787833081951,0.963110667996012,0.9565002471576866,0.9598039215686275,0.9596499756927565,0.9537126325940212,0.9564801530368244,0.9530360531309298,0.9534117647058824,0.9556489262371616,0.9592403890690134,0.9535845588235294,0.9562243502051984,0.9547511312217195,0.9614147621628306
GradientBoostingClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBRFClassifier 1,0.6011764705882353,0.5777518928363424,0.577277970011534,0.5779554540262707,0.5746606334841629,0.5831932773109244,0.5715871254162043,0.5750412314458494,0.5757080610021786,0.5785213167835942,0.5812834224598931,0.5781664016958135,0.5761554621848739,0.5918792295679334,0.5856553147574819,0.5836317135549872,0.5730223123732252,0.5827048768225239,0.5877367896311066,0.5872466633712309,0.5720588235294117,0.5940690325717064,0.5925747348119575,0.5982783357245337,0.5962998102466793,0.587764705882353,0.5868347338935574,0.5951829550717925,0.5988051470588235,0.5836753305973552,0.5819004524886878,0.5841225703613299
XGBRFClassifier 2,0.9205882352941176,0.9161327897495631,0.9083044982698962,0.9080525414049114,0.9100678733031674,0.9036414565826331,0.9051054384017758,0.9180868609125893,0.9084967320261438,0.9071775499190502,0.9074866310160428,0.8977212506624271,0.8933823529411765,0.8974492451847996,0.8885448916408669,0.8941176470588236,0.8980730223123732,0.9074912016088487,0.9027916251246261,0.8838358872960949,0.8833333333333333,0.8770053475935828,0.8548698167791707,0.8512673362027738,0.8700189753320683,0.8715294117647059,0.8627450980392157,0.8624363131079203,0.8552389705882353,0.8600091199270405,0.8542986425339366,0.8896548418036099
XGBClassifier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SXGBClassifier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SXGBClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
